dates,Temperature_Deviations
1987M07,0.56
1987M08,0.36
1987M09,0.46
1987M10,0.22
1987M11,0.38
1987M12,0.57
1988M01,0.59
1988M02,0.48
1988M03,0.53
1988M04,0.44
1988M05,0.52
1988M06,0.40
1988M07,0.37
1988M08,0.36
1988M09,0.34
1988M10,0.32
1988M11,0.12
1988M12,0.35
1989M01,0.12
1989M02,0.51
1989M03,0.33
1989M04,0.34
1989M05,0.28
1989M06,0.24
1989M07,0.32
1989M08,0.33
1989M09,0.28
1989M10,0.22
1989M11,0.24
1989M12,0.35
1990M01,0.40
1990M02,0.45
1990M03,0.91
1990M04,0.64
1990M05,0.58
1990M06,0.55
1990M07,0.39
1990M08,0.42
1990M09,0.34
1990M10,0.58
1990M11,0.55
1990M12,0.44
1991M01,0.50
1991M02,0.44
1991M03,0.45
1991M04,0.61
1991M05,0.57
1991M06,0.45
1991M07,0.48
1991M08,0.37
1991M09,0.43
1991M10,0.32
1991M11,0.27
1991M12,0.19
1992M01,0.38
1992M02,0.28
1992M03,0.38
1992M04,0.19
1992M05,0.20
1992M06,0.24
1992M07,0.02
1992M08,0.03
1992M09,-0.03
1992M10,-0.00
1992M11,0.02
1992M12,0.23
1993M01,0.33
1993M02,0.38
1993M03,0.35
1993M04,0.38
1993M05,0.42
1993M06,0.33
1993M07,0.34
1993M08,0.32
1993M09,0.16
1993M10,0.27
1993M11,0.11
1993M12,0.16
1994M01,0.36
1994M02,0.14
1994M03,0.28
1994M04,0.44
1994M05,0.40
1994M06,0.46
1994M07,0.37
1994M08,0.41
1994M09,0.32
1994M10,0.47
1994M11,0.42
1994M12,0.39
1995M01,0.69
1995M02,0.88
1995M03,0.43
1995M04,0.62
1995M05,0.26
1995M06,0.48
1995M07,0.44
1995M08,0.52
1995M09,0.55
1995M10,0.54
1995M11,0.54
1995M12,0.34
1996M01,0.41
1996M02,0.59
1996M03,0.34
1996M04,0.24
1996M05,0.45
1996M06,0.28
1996M07,0.30
1996M08,0.29
1996M09,0.17
1996M10,0.25
1996M11,0.38
1996M12,0.35
1997M01,0.47
1997M02,0.40
1997M03,0.56
1997M04,0.43
1997M05,0.28
1997M06,0.36
1997M07,0.46
1997M08,0.44
1997M09,0.51
1997M10,0.53
1997M11,0.49
1997M12,0.47
1998M01,0.62
1998M02,0.90
1998M03,0.83
1998M04,0.89
1998M05,0.81
1998M06,0.80
1998M07,0.81
1998M08,0.69
1998M09,0.58
1998M10,0.59
1998M11,0.57
1998M12,0.66
1999M01,0.60
1999M02,0.89
1999M03,0.44
1999M04,0.50
1999M05,0.48
1999M06,0.43
1999M07,0.51
1999M08,0.45
1999M09,0.59
1999M10,0.43
1999M11,0.47
1999M12,0.62
2000M01,0.33
2000M02,0.70
2000M03,0.49
2000M04,0.59
2000M05,0.43
2000M06,0.42
2000M07,0.35
2000M08,0.43
2000M09,0.35
2000M10,0.40
2000M11,0.24
2000M12,0.33
2001M01,0.56
2001M02,0.53
2001M03,0.64
2001M04,0.52
2001M05,0.46
2001M06,0.50
2001M07,0.48
2001M08,0.65
2001M09,0.55
2001M10,0.55
2001M11,0.71
2001M12,0.72
2002M01,0.71
2002M02,0.81
2002M03,0.98
2002M04,0.63
2002M05,0.63
2002M06,0.57
2002M07,0.67
2002M08,0.54
2002M09,0.62
2002M10,0.59
2002M11,0.64
2002M12,0.55
